#NO_PRODUCTS, NO_STORES
50,100
#PRODUCT_NO, QUANTITY_TO_BUY
0,7
1,38
2,16
3,45
4,7
5,25
6,16
7,15
8,25
9,3
10,4
11,4
12,44
13,1
14,44
15,1
16,30
17,45
18,21
19,29
20,34
21,37
22,43
23,24
24,25
25,47
26,50
27,11
28,6
29,2
30,12
31,19
32,36
33,49
34,35
35,47
36,39
37,30
38,48
39,26
40,33
41,8
42,42
43,27
44,28
45,23
46,16
47,34
48,9
49,12
#STORE_NO, DELIVERY_PRICE
0,5.65
1,4.96
2,5.94
3,4.71
4,4.66
5,4.7
6,4.31
7,4.73
8,4.96
9,5.26
10,5.84
11,5.71
12,4.98
13,5.19
14,4.95
15,5.08
16,5.67
17,4.71
18,4.51
19,5.16
20,4.74
21,5.05
22,5.1
23,4.46
24,5.54
25,4.75
26,4.64
27,5.64
28,4.26
29,4.87
30,4.75
31,4.79
32,5.23
33,5.42
34,5.41
35,5.71
36,5.34
37,4.74
38,4.99
39,5.27
40,5.05
41,5.25
42,5.21
43,5.91
44,4.51
45,5.22
46,5.13
47,4.4
48,4.96
49,4.18
50,4.75
51,4.37
52,5.04
53,4.8
54,4.38
55,5.88
56,5.99
57,5.15
58,4.82
59,5.45
60,4.91
61,5.61
62,4.91
63,5.18
64,5.61
65,5.83
66,4.75
67,5.01
68,4.65
69,5.18
70,4.84
71,5.26
72,4.17
73,5.09
74,5.3
75,4.94
76,4.61
77,4.77
78,6.19
79,5.57
80,5.32
81,5.07
82,5.35
83,4.9
84,4.76
85,4.7
86,5.89
87,5.71
88,4.98
89,5.1
90,4.62
91,5.91
92,4.16
93,4.96
94,4.35
95,4.99
96,4.99
97,4.36
98,5.21
99,4.42
#MATRIX OF PRICES (ROWS STORES - COLUMNS PRODUCTS)
0.0,21.73,22.1,0.0,25.15,0.0,0.0,22.18,0.0,0.0,24.19,21.6,0.0,0.0,0.0,20.83,21.16,0.0,21.01,0.0,0.0,0.0,24.82,21.97,0.0,0.0,0.0,20.46,24.78,25.06,23.56,0.0,0.0,23.19,24.66,0.0,0.0,0.0,24.2,21.95,0.0,25.1,0.0,0.0,26.15,0.0,0.0,18.19,24.45,0.0,
0.0,0.0,0.0,0.0,0.0,0.0,19.19,0.0,0.0,25.63,0.0,21.21,23.99,23.34,21.79,20.96,0.0,0.0,0.0,0.0,18.04,21.54,0.0,0.0,0.0,20.72,0.0,24.57,0.0,0.0,0.0,0.0,0.0,0.0,21.65,28.47,0.0,0.0,25.05,22.7,0.0,26.61,0.0,24.44,0.0,22.38,22.73,0.0,25.42,0.0,
23.57,0.0,25.74,22.22,26.89,23.58,0.0,0.0,21.35,0.0,21.12,24.88,22.87,0.0,0.0,23.26,0.0,25.39,21.67,21.83,22.71,25.26,21.4,21.7,24.91,23.31,0.0,19.36,0.0,0.0,19.83,0.0,0.0,20.76,25.28,23.54,21.75,24.55,0.0,19.09,0.0,0.0,24.49,21.44,19.57,0.0,0.0,19.11,0.0,20.29,
26.9,25.41,22.85,21.81,21.27,18.89,0.0,26.39,19.7,0.0,0.0,22.91,0.0,0.0,0.0,21.16,0.0,0.0,0.0,23.41,0.0,22.11,0.0,22.26,23.88,19.46,0.0,22.61,21.66,0.0,22.84,0.0,21.99,0.0,0.0,24.16,22.88,20.96,23.22,0.0,17.07,21.5,23.39,22.2,20.79,24.91,0.0,21.95,21.07,0.0,
24.96,0.0,0.0,24.1,20.3,25.97,0.0,0.0,23.02,0.0,23.61,21.1,0.0,20.23,0.0,19.85,23.41,25.41,0.0,0.0,0.0,22.29,16.9,22.68,0.0,28.27,0.0,19.73,0.0,22.94,25.37,17.84,24.06,0.0,15.08,0.0,0.0,25.22,0.0,0.0,0.0,0.0,23.17,23.99,0.0,0.0,21.52,27.65,0.0,0.0,
24.21,0.0,0.0,18.82,0.0,0.0,0.0,22.52,25.97,21.59,23.46,23.13,19.37,19.84,22.19,22.01,0.0,0.0,0.0,0.0,27.87,0.0,0.0,0.0,22.05,20.12,23.8,27.0,0.0,25.55,0.0,23.45,0.0,0.0,21.29,23.3,0.0,0.0,0.0,22.81,0.0,25.61,21.53,0.0,22.37,0.0,0.0,23.79,0.0,21.13,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.14,23.19,0.0,23.94,20.32,0.0,21.29,0.0,19.9,21.46,25.72,0.0,0.0,0.0,0.0,0.0,23.66,20.38,0.0,18.16,23.23,22.01,23.41,0.0,0.0,23.78,21.15,0.0,0.0,26.41,22.62,0.0,0.0,22.17,19.35,0.0,22.49,25.29,0.0,0.0,0.0,0.0,24.55,
0.0,0.0,0.0,20.94,0.0,21.61,20.55,0.0,0.0,30.3,0.0,22.4,0.0,22.79,20.59,23.26,0.0,0.0,0.0,0.0,0.0,24.83,18.75,23.55,0.0,21.75,0.0,0.0,0.0,25.49,20.72,21.07,26.82,25.71,0.0,17.25,0.0,0.0,27.26,26.03,23.0,0.0,24.2,0.0,20.14,0.0,0.0,0.0,0.0,18.5,
22.89,0.0,0.0,22.84,0.0,0.0,23.68,0.0,0.0,21.51,19.49,0.0,0.0,23.91,0.0,0.0,0.0,25.42,0.0,19.31,0.0,0.0,23.76,0.0,23.49,23.9,21.77,0.0,24.19,22.91,19.98,0.0,0.0,0.0,23.49,0.0,0.0,0.0,28.14,0.0,23.84,19.23,0.0,25.58,0.0,20.5,0.0,23.35,0.0,23.52,
0.0,0.0,27.86,24.36,0.0,0.0,24.72,0.0,0.0,20.37,24.91,0.0,0.0,20.09,24.1,25.7,22.02,0.0,19.04,0.0,0.0,20.37,19.76,0.0,25.07,0.0,25.64,23.39,0.0,24.74,22.59,0.0,20.56,21.38,21.09,18.69,0.0,0.0,0.0,23.42,23.69,0.0,22.73,18.05,22.21,0.0,0.0,0.0,0.0,0.0,
