1,23,,,
2,12,,,
3,22,,,
4,3,,,
5,25,,,
6,22,,,
7,23,,,
8,6,,,
9,21,,,
10,9,,,
11,4,,,
12,13,,,
13,4,,,
14,13,,,
15,7,,,
16,22,,,
17,14,,,
18,7,,,
19,2,,,
20,17,,,
21,17,,,
22,22,,,
23,8,,,
24,5,,,
25,21,,,
,,,,
1,12,18,45.49,8.5
2,15,13,32.55,1.58
3,7,10,12.17,8.88
4,50,21,31.22,9.08
5,32,16,42.96,4.16
6,43,22,42.69,4.7
7,17,17,15.24,5.44
8,45,25,7.1,4.55
9,27,5,41.03,6.53
10,30,18,9.42,9.53
11,22,1,43.92,0.95
12,29,15,48.95,7.21
13,8,14,40.52,1.9
14,39,15,19.98,8.4
15,33,14,31.51,3.15
16,38,5,39.08,9.12
17,6,10,28.45,5.18
18,18,9,12.43,8.95
19,24,13,23.18,2.29
20,40,17,7.76,9.8
21,34,6,26.98,4.18
22,2,4,28.04,9.66
23,19,19,15.29,1.33
24,31,24,15.23,7.46
25,20,25,21.13,5.99
23,31,7,40.57,7.46
22,42,24,17.87,3.76
3,28,14,10.08,2.01
23,23,12,9.71,7.48
18,31,13,37.63,7.46
20,31,7,39.55,7.46
13,2,15,37.93,9.66
14,20,1,11.18,5.99
15,49,13,42.83,3.58
4,32,6,26.66,4.16
17,33,13,43.95,3.15
5,36,7,45.67,7.89
11,50,15,17.14,9.08
1,44,12,7.49,8.26
6,13,3,35.72,8.5
17,43,1,15.03,4.7
20,32,5,5.65,4.16
25,22,24,29.66,0.95
22,41,13,12.45,3.57
10,23,1,31.28,7.48
9,30,4,49.54,9.53
14,46,17,29.64,1.95
13,42,23,12.61,3.76
16,37,21,20.47,6.58
7,24,3,27.97,2.29
20,1,12,24.2,2.75
12,43,25,24.64,4.7
18,3,24,10.2,0.35
17,30,17,47.44,9.53
22,12,9,5.96,8.5
7,44,7,50,8.26
24,28,9,43.25,2.01
11,47,18,12.78,0.53
22,7,17,27.95,8.88
9,25,7,22.47,4.17
20,26,20,15.98,3.03
22,45,20,28.23,4.55
3,25,12,18.48,4.17
23,36,3,40.88,7.89
10,14,19,36.05,0.06
23,1,22,22.53,2.75
24,35,8,22.2,9.28
15,50,20,7.83,9.08
3,50,19,11.22,9.08
4,36,6,13.53,7.89
7,30,1,6.29,9.53
15,46,8,42.89,1.95
11,12,25,11.42,8.5
3,45,21,23.16,4.55
20,38,18,28.33,9.12
8,28,10,48.93,2.01
14,3,25,42.35,0.35
10,18,13,23.73,8.95
2,6,14,34.86,5.18
10,11,21,45.18,2.29
21,16,14,47.89,7.39
2,1,18,8.57,2.75
25,16,25,18.16,7.39
22,21,17,24.81,6.2
9,4,23,32.1,4.62
8,7,23,13.04,8.88
4,16,8,24.97,7.39
4,18,2,39.79,8.95
5,30,20,17.58,9.53
11,4,6,20.21,4.62
23,4,19,32.26,4.62
2,43,1,19.42,4.7
16,20,11,32.54,5.99
16,25,1,9.45,4.17
21,27,18,35.79,6.53
10,38,7,19.1,9.12
3,9,19,9.38,2.03
12,27,13,39.38,6.53
19,13,7,17.11,8.5
20,46,6,24.98,1.95
13,28,8,22.6,2.01
16,19,12,44.4,1.33
22,25,23,25,4.17
16,30,19,41.67,9.53
14,47,1,36.44,0.53
1,37,6,38.59,6.58
21,36,7,34.35,7.89
8,32,8,18.26,4.16
23,32,13,47.35,4.16
15,41,21,29.3,3.57
13,25,16,13.71,4.17
7,15,19,41.54,1.58
19,6,4,8.39,5.18
2,7,22,22.12,8.88
24,40,14,24.25,9.8
14,35,6,38.1,9.28
4,14,22,7.5,0.06
24,39,18,19.16,8.4
3,8,6,20.09,1.9
2,42,10,19.49,3.76
1,13,10,31.42,8.5
25,41,12,27.96,3.57
21,41,5,48.76,3.57
4,22,2,18.13,0.95
24,23,11,11.35,7.48
11,31,10,25.96,7.46
19,1,11,31.57,2.75
5,44,21,30.71,8.26
12,34,22,6.61,4.18
22,50,16,11.69,9.08
13,9,2,19.51,2.03
25,50,8,19.43,9.08
24,47,3,33.28,0.53
16,23,17,46.16,7.48
8,31,9,5.85,7.46
15,17,17,23.85,5.44
7,39,14,25.65,8.4
13,32,16,48.16,4.16
23,30,7,19.17,9.53
4,10,5,25.74,8.96
21,23,23,26.86,7.48
22,31,14,40.2,7.46
21,38,22,6.77,9.12
2,20,17,34.77,5.99
3,47,8,43.11,0.53
4,40,5,42.75,9.8
6,35,18,36.51,9.28
12,31,23,37.53,7.46
13,26,24,17.21,3.03
13,34,19,18,4.18
4,7,22,45.86,8.88
11,46,23,6.44,1.95
22,48,24,9.81,5.6
22,46,20,5.8,1.95
6,9,6,22.79,2.03
7,5,2,42.92,7.87
4,43,4,31.02,4.7
12,2,20,11.92,9.66
17,22,6,21.09,0.95
1,50,10,9.97,9.08
3,18,24,29.94,8.95
14,42,17,12.83,3.76
19,31,3,33.68,7.46
9,26,9,24.44,3.03
3,38,1,16.96,9.12
2,28,13,10.53,2.01
15,9,7,7.32,2.03
4,12,5,15.72,8.5
10,40,25,12.8,9.8
22,3,8,9.54,0.35
12,47,15,45.46,0.53
8,14,7,36.95,0.06
12,24,20,49.38,2.29
20,11,9,48.69,2.29
21,12,7,46.47,8.5
7,22,23,35.75,0.95
13,47,10,8.17,0.53
5,45,2,31.34,4.55
7,13,7,17.05,8.5
4,48,22,42.81,5.6
8,9,13,19.27,2.03
20,2,3,12.71,9.66
21,19,12,36.78,1.33
3,12,3,38.27,8.5
6,10,11,34.92,8.96
21,48,24,10.77,5.6
16,33,6,23.77,3.15
25,6,22,21.94,5.18
17,49,25,14.41,3.58
17,16,21,50.04,7.39
9,9,25,15.94,2.03
11,48,25,6.7,5.6
16,2,21,12.21,9.66
5,7,13,21.33,8.88
9,50,19,16.95,9.08
13,45,10,19.93,4.55
23,18,11,27.22,8.95
3,14,24,43.92,0.06
18,26,22,22.49,3.03
19,38,18,34.73,9.12
13,33,22,25.72,3.15
10,31,7,15.71,7.46
13,48,17,12.26,5.6
3,49,4,27.82,3.58
8,42,13,26.15,3.76
23,20,17,18.59,5.99
7,43,24,28.32,4.7
2,35,3,22.7,9.28
7,11,21,32.63,2.29
21,45,11,21.22,4.55
17,10,20,12.91,8.96
13,3,14,44.44,0.35
2,37,24,11.86,6.58
20,45,10,8.77,4.55
16,24,18,30.78,2.29
14,8,6,46.65,1.9
3,2,18,32.54,9.66
19,44,13,19.73,8.26
25,25,5,42.68,4.17
10,9,10,48.41,2.03
18,33,21,22.05,3.15
5,47,1,49.15,0.53
6,42,15,36.55,3.76
5,27,13,45.4,6.53
15,31,16,45.48,7.46
16,8,19,40.28,1.9
8,35,24,35.59,9.28
5,42,4,38.13,3.76
4,46,14,44.21,1.95
6,8,5,36.59,1.9
17,24,23,41.59,2.29
21,2,12,23.35,9.66
23,33,12,39.13,3.15
3,34,22,48.04,4.18
13,4,1,32.04,4.62
22,11,5,6.83,2.29
17,17,18,19.32,5.44
5,13,16,44.36,8.5
18,6,11,5.24,5.18
21,21,7,40.28,6.2
19,48,7,34.71,5.6
23,14,21,14.55,0.06
3,43,8,36.24,4.7
20,24,23,21.2,2.29
1,11,22,28.02,2.29
21,44,16,8.37,8.26
6,33,7,16.35,3.15
13,35,14,40.66,9.28
14,5,7,9.57,7.87
11,29,14,15.7,7.21
25,12,22,14.28,8.5
